Picture no.,Location,URL,Stars,Half_stars,Swell,Session,Local_time,Sunrise,Sunset,Weekday,Weather,Crop_Point
"image1.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image2.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image3.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image4.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image5.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image6.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image7.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image8.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image9.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image10.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image11.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image12.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image13.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image14.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image15.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image16.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image17.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image18.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image19.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image20.png
","Hilton Surf Report and Forecast
","https://magicseaweed.com/Hilton-Surf-Report/3658/
","1
","0
","0.7-1.2m
","20-01-2022 15
","15:45
","6:39
","17:5
","3
","Sunny
","323 167
"
"image21.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image22.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image23.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image24.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image25.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image26.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image27.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image28.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image29.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image30.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image31.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image32.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image33.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image34.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image35.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image36.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image37.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image38.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
"image39.png
","Marina - HerzeliaSurf Report and Forecast
","https://magicseaweed.com/Marina-Herzelia-Surf-Report/3979/
","1
","0
","0.7-1.1m
","20-01-2022 15
","15:47
","6:39
","17:5
","3
","Sunny
","339 500
"
